Date,Item
2023-02-03,"Our work on &quot;Timed Partial Order Inference Algorithm&quot; has been accepted for presentation at AAAI Int'l Conference on Automated Planning and Scheduling (ICAPS) 2023."
2023-01-21,"Our work on &quot;Interval Markov Decision Processes with Continuous Action-Spaces&quot; has been accepted for presentation at ACM Int'l Conference on Hybrid Systems: Computation and Control (HSCC) 2023. [Read the preprint here!](https://arxiv.org/abs/2211.01231)"
2023-01-16,"Our work on &quot;Stochastic Robustness Interval for Motion Planning with Signal Temporal Logic&quot; has been accepted for presentation at IEEE Int'l Conf. on Robotics and Automation (ICRA) 2023. [Read the preprint here!](https://arxiv.org/abs/2210.04813)"
2023-01-16,"Our work on &quot;Chance-Constrained Motion Planning with Event-Triggered Estimation&quot; has been accepted for presentation at IEEE Int'l Conf. on Robotics and Automation (ICRA) 2023. [Read the preprint here!](https://arxiv.org/abs/2210.07190)"
2023-01-16,"Our work on &quot;Planning with SiMBA: Motion Planning under Uncertainty for Temporal Goals using Simplified Belief Guides&quot; has been accepted for presentation at IEEE Int'l Conf. on Robotics and Automation (ICRA) 2023. [Read the preprint here!](https://arxiv.org/abs/2210.10202)"
2023-01-15,"Ibón Gracia, welcome to the ARIA Systems Group! We are excited to have you in the team!"
2023-11-4,"Roland Ilyes successfully defended his thesis. Congratulations Roland!"
2022-09-15,"Our work on &quot;Safety Guarantees for Neural Network Dynamic Systems via Stochastic Barrier Functions&quot; has been accepted for presentation at Conference on Neural Information Processing Systems (NeurIPS) 2022. [Read the preprint here!](https://arxiv.org/abs/2206.07811)"
2022-09-15,"Our work on &quot;An Algorithm for Learning Switched Linear Dynamics from Data&quot; has been accepted for presentation at Conference on Neural Information Processing Systems (NeurIPS) 2022."
2022-07-15,"Our work on &quot;Automaton-Guided Control Synthesis for Signal Temporal Logic Specifications&quot; has been accepted for presentation at IEEE Conference on Decision and Control (CDC) 2022. [Read the preprint here!](https://arxiv.org/abs/2207.03662)"
2022-07-15,"Our work on &quot;Pareto Optimal Strategies for Event Triggered Estimation&quot; has been accepted for presentation at IEEE Conference on Decision and Control (CDC) 2022. [Read the preprint here!](http://arxiv.org/abs/2207.08971)"
2022-06-30,"Our work on &quot;Conflict-based Search for Multi-Robot Motion Planning with Kinodynamic Constraints&quot; has been accepted for presentation at IEEE Int'l Conf. on Intelligent Robots and Systems (IROS) 2022. [Read the preprint here!](https://arxiv.org/abs/2207.00576)"
2022-05-15,"Our work on &quot;Formal Control Synthesis for Stochastic Neural Network Dynamic Models&quot; has been accepted for publication in IEEE Control Systems Letters 2022. [Read the preprint here!](https://arxiv.org/abs/2203.05903)"
2022-02-25,"Our work on &quot;Explainable Multi-Agent Path Finding Imaging&quot; has been accepted for presentation at Int'l Conf. on Automated Planning and Scheduling (ICAPS) 2022. [Read the preprint here!](https://arxiv.org/pdf/2202.09930.pdf)"
2022-01-31,"Our work on &quot;Shielded Deep Reinforcement Learning for Multi-Sensor Spacecraft Imaging&quot; has been accepted for presentation at American Control Conference (ACC) 2022. [Read the preprint here!](http://mortezalahijanian.com/papers/ACC2022.pdf)"
2022-01-31,"Our work on &quot;Let's Collaborate: Regret-based Reactive Synthesis for Robotic Manipulation&quot; has been accepted for presentation at IEEE Int'l Conf. on Robotics and Automation (ICRA) 2022. [Read the preprint here!](https://arxiv.org/pdf/2203.06861.pdf)"
2022-01-31,"Our work on &quot;Gaussian Belief Trees for Chance Constrained Asymptotically Optimal Motion Planning&quot; has been accepted for presentation at IEEE Int'l Conference on Robotics and Automation (ICRA) 2022. [Read the preprint here!](https://arxiv.org/pdf/2202.12407.pdf)"
2021-09-17,"Our work on &quot;Online Mapping and Motion Planning under Uncertainty for Safe Navigation in Unknown Environments&quot; has been accepted for publication in IEEE Transactions on Automation Science and Engineering (T-ASE) 2021. Well done, Eric!"
2021-08-23,"Robert Reed, welcome to the ARIA Systems Group! We are excited to have you in the team!"
2021-07-27,Our work on &quot;Synergistic Offline-Online Control Synthesis via Local Gaussian Process Regression&quot; has been accepted for presentation at IEEE Conference on Decision and Control (CDC) 2021. [Read the preprint here!](https://arxiv.org/abs/2110.05525)
2021-06-30,Our work on &quot;Probabilistic Specification Learning for Planning with Safety Constraints&quot; has been accepted for presentation at IEEE Int'l Conference on Intelligent Robots and Systems (IROS) 2021. 
2021-03-31,Karan Muvvala successfully defended his thesis. Congratulations Karan!
2021-02-28,Our work on &quot;Synthesis for Probabilistic Manipulation Domains&quot; has been accepted for presentation at IEEE Int'l Conference on Robotics and Automation (ICRA) 2021.
2021-02-28,Our work on &quot;Explainable Multi-agent Motion Planning&quot; has been accepted for presentation at IEEE Int'l Conference on Robotics and Automation (ICRA) 2021.
2020-12-23,Our work on &quot;Strategy synthesis for Unknown Dynamical Systems&quot; has been accepted for presentation at ACM Conference on Hybrid Systems: Computation and Control (HSCC) 2021. [Read the paper here!](https://dl.acm.org/doi/abs/10.1145/3447928.3456649)
2020-11-18,Richard Moon successfully defended his thesis. Congratulations Richard!
2020-11-3,Akash Ratheesh Babu successfully defended his thesis. Congratulations Akash!
2020-8-3,Our work on &quot;LTLf Synthesis on Probabilistic Systems&quot; has been accepted for presentation at the Int. Symposium on Games, Automata, Logics, and Formal Verification (GandALF) 2020.
2020-7-24,Nicholas Renninger successfully defended his thesis. Congratulations Nick!
2020-7-15,Our work on &quot;Safety Verification of Unknown Dynamical Systems&quot; has been accepted for presentation at IEEE Conference on Decision and Control (CDC) 2020. [Read the paper here](https://ieeexplore.ieee.org/abstract/document/9303814)!
2020-7-13,Our work on &quot;Towards Data-driven Verification of Unknown Dynamical Systems&quot; has been accepted to the Robotics: Science and Systems Workshop for Explainable and Trustworthy Robot Decision Making for Scientific Data Collection. [See full paper here](https://openreview.net/pdf?id=pc1AU6xLol4)!
